diet,chick,days,grams
corn,1,0.19167193304747343,42
corn,1,1.0106406477279961,51
corn,1,4.521767313126475,59
corn,1,6.7225206065922976,64
corn,1,8.138332086149603,76
corn,1,9.112095478922129,93
corn,1,11.708418463356793,106
corn,1,13.657672161236405,125
corn,1,15.128286202438176,149
corn,1,17.9540857761167,171
corn,1,20.879344976041466,199
corn,1,20.93021173076704,205
corn,2,0,40
corn,2,2.06835331954062,49
corn,2,3.198962054681033,58
corn,2,5.498647761065513,72
corn,2,8.378992039244622,84
corn,2,10.100312391296029,103
corn,2,12.167783039622009,122
corn,2,13.392301816493273,138
corn,2,15.193438820075244,162
corn,2,17.9627972622402,187
corn,2,20.83884420664981,209
corn,2,21.618473805952817,215
corn,3,0,43
corn,3,1.4405243396759033,39
corn,3,3.0401158216409385,55
corn,3,5.117304329294711,67
corn,3,8.636375884525478,84
corn,3,10.655060690362006,99
corn,3,11.488750105258077,115
corn,3,14.21410875953734,138
corn,3,16.522181411273777,163
corn,3,18.431162706110626,187
corn,3,19.56506120506674,198
corn,3,20.210295452736318,202
corn,4,0.35395486280322075,42
corn,4,2.0842650891281664,49
corn,4,4.341035278979689,56
corn,4,5.5726353651843965,67
corn,4,7.444131761789322,74
corn,4,10.075566163286567,87
corn,4,11.16108564287424,102
corn,4,14.546968440525234,108
corn,4,16.28042380558327,136
corn,4,18.728812038432807,154
corn,4,20.607160499319434,160
corn,4,20.789433951023966,157
corn,5,0,41
corn,5,1.1687088520266116,42
corn,5,3.2003001528792083,48
corn,5,6.559686526656151,60
corn,5,7.365675623994321,79
corn,5,10.515882025007159,106
corn,5,11.027673006989062,141
corn,5,13.338032856117934,164
corn,5,15.093667392618954,197
corn,5,18.11730662640184,199
corn,5,19.642054457683116,220
corn,5,20.9155543576926,223
corn,6,0.13800159189850092,41
corn,6,1.6731750974431634,49
corn,6,4.544754680246115,59
corn,6,6.690799839794636,74
corn,6,7.760302581824362,97
corn,6,10.302095318213105,124
corn,6,11.914322684053332,141
corn,6,14.76086568646133,148
corn,6,16.68494965415448,155
corn,6,18.98910997575149,160
corn,6,20.324418232776225,160
corn,6,21.63814561488107,157
corn,7,0,41
corn,7,2.0865213978104293,49
corn,7,4.19343107752502,57
corn,7,5.578684290405363,71
corn,7,7.607538248877972,89
corn,7,10.841149945743382,112
corn,7,12.021028048824519,146
corn,7,14.65843455819413,174
corn,7,15.660717824008316,218
corn,7,18.49879715871066,250
corn,7,20.27073377650231,288
corn,7,21.727322548162192,305
corn,8,0,42
corn,8,2.5653738090768456,50
corn,8,4.161698495503515,61
corn,8,6.9125853083096445,71
corn,8,8.803352362010628,84
corn,8,9.902335632126778,93
corn,8,12.635036113206297,110
corn,8,13.687251296360046,116
corn,8,16.219497874379158,126
corn,8,17.216292274184525,134
corn,8,19.497346944641322,125
corn,9,0.9665188444778323,42
corn,9,1.6622436144389212,51
corn,9,4.269809367135167,59
corn,9,6.171264009550214,68
corn,9,8.108478209469467,85
corn,9,10.612573736347258,96
corn,9,11.754631334915757,90
corn,9,14.0232856227085,92
corn,9,16.047152530401945,93
corn,9,17.233606196939945,100
corn,9,20.31153884762898,98
corn,9,20.792825473006815,100
corn,10,0.6062653898261487,41
corn,10,2.3070742143318057,44
corn,10,4.893975447397679,52
corn,10,5.547146745491773,63
corn,10,7.340013050008565,74
corn,10,9.281375614926219,81
corn,10,12.804628900252283,89
corn,10,14.176462886389345,96
corn,10,16.69036441249773,101
corn,10,17.040116836316884,112
corn,10,19.143562242388725,120
corn,10,21.661681125406176,124
corn,11,0,43
corn,11,2.960057361982763,51
corn,11,4.4517340823076665,63
corn,11,5.183731311466545,84
corn,11,7.777362336404622,112
corn,11,9.828264615032822,139
corn,11,11.992381471209228,168
corn,11,14.131546049378812,177
corn,11,16.83939477149397,182
corn,11,17.65731056779623,184
corn,11,20.09306635009125,181
corn,11,21.79789128853008,175
corn,12,0,41
corn,12,2.565496714320034,49
corn,12,3.399822082836181,56
corn,12,5.336148509290069,62
corn,12,7.564589473418891,72
corn,12,9.71306332340464,88
corn,12,12.093145451974124,119
corn,12,14.689946323167533,135
corn,12,15.14437712682411,162
corn,12,18.105135527439415,185
corn,12,20.215799593832344,195
corn,12,20.27716335700825,205
corn,13,0,41
corn,13,2.0288421562872827,48
corn,13,3.6132557946257293,53
corn,13,5.518468196969479,60
corn,13,7.257601505145431,65
corn,13,9.195537473540753,67
corn,13,11.174139451235533,71
corn,13,13.580831193830818,70
corn,13,15.05742840655148,71
corn,13,17.676972401328385,81
corn,13,20.08262932067737,91
corn,13,21.711898354347795,96
corn,14,0.6858901209197938,41
corn,14,1.9758495832793415,49
corn,14,4.383020426146686,62
corn,14,6.328840502072126,79
corn,14,7.557334273122251,101
corn,14,9.4802209851332,128
corn,14,12.85272709140554,164
corn,14,13.254947654437274,192
corn,14,16.101402112282813,227
corn,14,18.238614859525114,248
corn,14,19.78864949475974,259
corn,14,20.090246892534196,266
corn,15,0.7050349302589893,41
corn,15,1.065974344033748,49
corn,15,3.0693994453176856,56
corn,15,6.011996286921203,64
corn,15,7.315083836205304,68
corn,15,9.959369444753975,68
corn,15,12.27880991762504,67
corn,15,13.878437425941229,68
corn,16,0.6641671215184033,41
corn,16,1.7949946727603674,45
corn,16,4.871380802709609,49
corn,16,5.454419862944633,51
corn,16,7.43398500746116,57
corn,16,10.55361845716834,51
corn,16,12.760140407364815,54
corn,17,0,42
corn,17,1.0519833946600556,51
corn,17,4.400614246726036,61
corn,17,6.099909796379507,72
corn,17,8.038051935378462,83
corn,17,9.308160280343145,89
corn,17,11.623887325637043,98
corn,17,14.665180601645261,103
corn,17,15.792741380166262,113
corn,17,17.870740151498467,123
corn,17,20.15310008637607,142
corn,17,20.412007961887866,133
corn,18,0,39
corn,18,2.2289151949808,35
corn,19,0.3692882936447859,43
corn,19,2.423494425136596,48
corn,19,4.884566266555339,55
corn,19,5.640522106084973,62
corn,19,8.197286218870431,65
corn,19,9.487841400317848,71
corn,19,11.074868442490697,82
corn,19,13.177791365422308,88
corn,19,16.151943917851895,106
corn,19,17.60332104889676,120
corn,19,20.086944446898997,144
corn,19,20.37561171175912,157
corn,20,0.4805741827003658,41
corn,20,2.3324471972882748,47
corn,20,3.0839130631648004,54
corn,20,6.918330502696335,58
corn,20,7.29998354613781,65
corn,20,9.655369263608009,73
corn,20,11.85423918068409,77
corn,20,14.571141608059406,89
corn,20,15.446403847075999,98
corn,20,18.277503634337336,107
corn,20,19.696225638501346,115
corn,20,20.234417470172048,117
trash,21,0,40
trash,21,2.2891558166593313,50
trash,21,4.502223217394203,62
trash,21,6.183760027866811,86
trash,21,7.368688546586782,125
trash,21,10.353878365363926,163
trash,21,11.750782519113272,217
trash,21,13.319361753761768,240
trash,21,16.527767358347774,275
trash,21,17.568040220532566,307
trash,21,20.22149064624682,331
trash,21,20.533344079274684,318
trash,22,0.8183073964901268,41
trash,22,2.0743151963688433,55
trash,22,4.567535976413637,64
trash,22,5.421379521489143,77
trash,22,8.555880193132907,90
trash,22,9.111762653104961,95
trash,22,11.077852136921138,108
trash,22,14.796965506393462,111
trash,22,15.255197236314416,131
trash,22,18.43185295909643,148
trash,22,20.047151652164757,167
trash,22,20.599452659953386,164
trash,23,0.5990943163633347,43
trash,23,1.4925378118641675,52
trash,23,3.634985215496272,61
trash,23,5.4040517918765545,73
trash,23,8.573773694224656,90
trash,23,10.26037817215547,103
trash,23,11.19861628767103,127
trash,23,14.51101340772584,135
trash,23,15.308176247868687,145
trash,23,18.089365163818,163
trash,23,20.26070734951645,170
trash,23,20.826332797762007,175
trash,24,0,42
trash,24,1.5705436053685844,52
trash,24,3.3407628005370498,58
trash,24,6.064269301015884,74
trash,24,7.392913872376084,66
trash,24,10.523140924517065,68
trash,24,11.50950057292357,70
trash,24,13.908124435693026,71
trash,24,15.195492874830961,72
trash,24,17.99284719955176,72
trash,24,20.17781481379643,76
trash,24,20.86821114970371,74
trash,25,0.4674948868341744,40
trash,25,2.3447343013249338,49
trash,25,3.3598478310741484,62
trash,25,6.799248141236603,78
trash,25,8.49188309814781,102
trash,25,10.509914906229824,124
trash,25,12.906471794471145,146
trash,25,14.587406173348427,164
trash,25,16.597758818417788,197
trash,25,17.80033853650093,231
trash,25,20.731183820404112,259
trash,25,21.301420577801764,265
trash,26,0,42
trash,26,1.2126076198183,48
trash,26,4.445689796935767,57
trash,26,5.798313435167074,74
trash,26,8.954266145825386,93
trash,26,10.291780546307564,114
trash,26,12.862984084524214,136
trash,26,13.281367694027722,147
trash,26,15.803699500393122,169
trash,26,18.393089308869094,205
trash,26,20.135320965200663,236
trash,26,21.036506049800664,251
trash,27,0,39
trash,27,2.449583070818335,46
trash,27,4.677918968722224,58
trash,27,6.94518512673676,73
trash,27,7.478490967769176,87
trash,27,10.091629258356988,100
trash,27,11.636114858556539,115
trash,27,14.666403425857425,123
trash,27,16.189880735706538,144
trash,27,18.46289795683697,163
trash,27,20.901294850744307,185
trash,27,21.65207157144323,192
trash,28,0.7078277608379722,39
trash,28,2.163095820695162,46
trash,28,4.3026975360699,58
trash,28,6.002261956688017,73
trash,28,8.463989412412047,92
trash,28,10.805757426656783,114
trash,28,11.246286453679204,145
trash,28,14.545445611700416,156
trash,28,15.058116524014622,184
trash,28,17.74749437905848,207
trash,28,19.07791581330821,212
trash,28,20.22773675993085,233
trash,29,0.6000129198655486,39
trash,29,2.0118933697231114,48
trash,29,4.612105173524469,59
trash,29,6.250513516832143,74
trash,29,8.744457750581205,87
trash,29,10.667765693739057,106
trash,29,11.039624623954296,134
trash,29,13.466183957643807,150
trash,29,16.17065220233053,187
trash,29,17.917616127524525,230
trash,29,19.7624209811911,279
trash,29,20.00928919389844,309
trash,30,0.9283457668498158,42
trash,30,1.7933295839466155,48
trash,30,3.5207901634275913,59
trash,30,6.611763352062553,72
trash,30,7.542516624554992,85
trash,30,10.855168636422604,98
trash,30,11.522320865187794,115
trash,30,13.228071202524006,122
trash,30,16.01473376667127,143
trash,30,17.79983771312982,151
trash,30,19.36778776254505,157
trash,30,21.177266468293965,150
mixed,31,0,42
mixed,31,2.522221938241273,53
mixed,31,3.021171215455979,62
mixed,31,5.517130663618445,73
mixed,31,7.2829402214847505,85
mixed,31,9.54845697665587,102
mixed,31,11.212031041271985,123
mixed,31,13.543511609081179,138
mixed,31,16.676906164269894,170
mixed,31,18.231066159438342,204
mixed,31,20.510745264124125,235
mixed,31,21.259521405678242,256
mixed,32,0,41
mixed,32,2.1296753250062466,49
mixed,32,3.942033688072115,65
mixed,32,5.231475657783449,82
mixed,32,8.034837676212192,107
mixed,32,10.136941011063755,129
mixed,32,12.789916791021824,159
mixed,32,14.53907373547554,179
mixed,32,15.325790259055793,221
mixed,32,18.53340700780973,263
mixed,32,20.04959041113034,291
mixed,32,21.320960071403533,305
mixed,33,0.7432617479935288,39
mixed,33,1.2567489799112082,50
mixed,33,4.8073342721909285,63
mixed,33,5.656477274838835,77
mixed,33,8.167585955467075,96
mixed,33,10.230428230483085,111
mixed,33,11.608725576661527,137
mixed,33,13.141660320106894,144
mixed,33,16.8776666931808,151
mixed,33,18.692053289618343,146
mixed,33,19.013952183071524,156
mixed,33,20.558379199821502,147
mixed,34,0.8747107908129692,41
mixed,34,1.454498590901494,49
mixed,34,4.25897479429841,63
mixed,34,5.900655264500529,85
mixed,34,8.474302962422371,107
mixed,34,10.388987886719406,134
mixed,34,11.586316626518965,164
mixed,34,14.954685954842716,186
mixed,34,16.372260918375105,235
mixed,34,17.452365518081933,294
mixed,34,20.95975785376504,327
mixed,34,21.83788291970268,341
mixed,35,0,41
mixed,35,2.426129885483533,53
mixed,35,3.0250947633758187,64
mixed,35,6.6468115746974945,87
mixed,35,7.968359007965773,123
mixed,35,9.4769595740363,158
mixed,35,11.918587876483798,201
mixed,35,14.707028013188392,238
mixed,35,16.090815699659288,287
mixed,35,17.7759974244982,332
mixed,35,19.10912518715486,361
mixed,35,20.282612334471196,373
mixed,36,0,39
mixed,36,2.001603841781616,48
mixed,36,4.614270660560578,61
mixed,36,5.1114977626129985,76
mixed,36,7.817640968598425,98
mixed,36,10.34388354467228,116
mixed,36,12.03376462077722,145
mixed,36,13.992349882144481,166
mixed,36,15.655479474458843,198
mixed,36,18.657793955411762,227
mixed,36,19.51505617890507,225
mixed,36,21.90141116036102,220
mixed,37,0,41
mixed,37,1.010077003389597,48
mixed,37,3.1038105553016067,56
mixed,37,6.497961157467216,68
mixed,37,8.885320296045393,80
mixed,37,9.515442525036633,83
mixed,37,12.048844882287085,103
mixed,37,14.643913155421615,112
mixed,37,15.935265066102147,135
mixed,37,18.951459292322397,157
mixed,37,19.739499422721565,169
mixed,37,20.18696668697521,178
mixed,38,0,41
mixed,38,1.1456460198387504,49
mixed,38,3.0051095080561936,61
mixed,38,5.534655035939068,74
mixed,38,8.111241303384304,98
mixed,38,10.020867938175797,109
mixed,38,12.436903078574687,128
mixed,38,13.651246990542859,154
mixed,38,15.81544746318832,192
mixed,38,18.14154400350526,232
mixed,38,19.674400981515646,280
mixed,38,20.7059388239868,290
mixed,39,0.11861082958057523,42
mixed,39,1.0819136700592935,50
mixed,39,3.85162735870108,61
mixed,39,6.138091153930873,78
mixed,39,7.369695333763957,89
mixed,39,10.192185242194682,109
mixed,39,11.824973890557885,130
mixed,39,14.446552339475602,146
mixed,39,15.818825013469905,170
mixed,39,18.16668888228014,214
mixed,39,19.08839700045064,250
mixed,39,20.533352500293404,272
mixed,40,0,41
mixed,40,2.854827653616667,55
mixed,40,4.711371196433902,66
mixed,40,5.7328557930886745,79
mixed,40,8.37293681083247,101
mixed,40,10.991078128106892,120
mixed,40,12.034494953695685,154
mixed,40,13.336860537994653,182
mixed,40,16.703728206455708,215
mixed,40,17.70323796570301,262
mixed,40,19.493842648342252,295
mixed,40,20.29827739764005,321
special,41,0,42
special,41,2.5708728954195976,51
special,41,4.935750470031053,66
special,41,5.920371548272669,85
special,41,8.362097432371229,103
special,41,10.008630103431642,124
special,41,12.90125194657594,155
special,41,14.989837625529617,153
special,41,15.720871738158166,175
special,41,18.569000164978206,184
special,41,20.336860226467252,199
special,41,21.259451277554035,204
special,42,0,42
special,42,1.371417817659676,49
special,42,3.3747567306272686,63
special,42,5.594605675898492,84
special,42,8.56743276771158,103
special,42,10.303293676581234,126
special,42,12.134175356477499,160
special,42,13.2924766051583,174
special,42,16.654230998363346,204
special,42,17.984255250077695,234
special,42,19.400845526251942,269
special,42,21.0839237626642,281
special,43,0.737613164819777,42
special,43,2.509025387465954,55
special,43,4.738688672427088,69
special,43,6.168669648002833,96
special,43,8.318598547950387,131
special,43,10.369958284310997,157
special,43,11.210953635629267,184
special,43,13.899970890954137,188
special,43,16.52778237266466,197
special,43,18.436354466713965,198
special,43,19.929453414864838,199
special,43,21.448445995803922,200
special,44,0,42
special,44,1.8744936105795205,51
special,44,3.4773646015673876,65
special,44,6.011592815630138,86
special,44,7.196507875341922,103
special,44,10.584927481599152,118
special,44,12.456108251120895,127
special,44,14.947754265740514,138
special,44,16.881113576702774,145
special,44,18.09665084257722,146
special,45,0,41
special,45,2.8754217769019306,50
special,45,3.305892303120345,61
special,45,5.534812128171325,78
special,45,8.966257121879607,98
special,45,10.716308242175728,117
special,45,11.863496623933315,135
special,45,14.95549163594842,141
special,45,15.550766671076417,147
special,45,18.086098096799105,174
special,45,19.508002947550267,197
special,45,20.718769447878003,196
special,46,0.1298273652791977,40
special,46,1.536183301359415,52
special,46,3.01568318111822,62
special,46,5.511243897490203,82
special,46,8.538679252844304,101
special,46,10.840215112548321,120
special,46,11.160373128019273,144
special,46,13.658723092172295,156
special,46,15.182724044192582,173
special,46,18.92187478672713,210
special,46,19.452718551736325,231
special,46,21.84177537029609,238
special,47,0,41
special,47,1.61150026274845,53
special,47,3.584696572739631,66
special,47,6.945405715145171,79
special,47,7.2817897270433605,100
special,47,9.955423442646861,123
special,47,11.963147276546806,148
special,47,13.572320215404034,157
special,47,16.18741590855643,168
special,47,17.529521520715207,185
special,47,19.871968027204275,210
special,47,21.168570968788117,205
special,48,0,39
special,48,1.6754659009166062,50
special,48,3.311845265328884,62
special,48,5.73628710443154,80
special,48,7.578681772109121,104
special,48,9.229188346304,125
special,48,12.141534910071641,154
special,48,13.072221928741783,170
special,48,15.696602588985115,222
special,48,18.167829908430576,261
special,48,20.39378698542714,322
special,48,20.487187798134983,303
special,49,0,40
special,49,1.5244641713798046,53
special,49,4.0631397985853255,64
special,49,5.847120742313564,85
special,49,8.021850512363017,108
special,49,10.75117327645421,128
special,49,12.99642297346145,152
special,49,14.015349050983787,166
special,49,16.078106886707246,184
special,49,17.97941812267527,203
special,49,20.384785716421902,233
special,49,21.681627275887877,237
special,50,0.6221485189162195,41
special,50,1.6585191851481795,54
special,50,4.071437304373831,67
special,50,5.983575491700321,84
special,50,8.473047636914998,105
special,50,10.277955743484199,122
special,50,12.743355909828097,155
special,50,13.350457075051963,175
special,50,16.348684378899634,205
special,50,17.285169747658074,234
special,50,20.934586661402136,264
special,50,20.94496641168371,264
